Created-At,From-User-Id,Text,Id
2023-01-25,1374385502019678221,"@DivHumas_Polri Mbak Neka telah mencabut Laporan dan mengakui apa yg sebenarnya terjadi dalam kondisi sehat dan sadar.... Tidak ada tekanan dari pihak manapun.
@ListyoSigitP @TMCPoldaMetro
@mohmahfudmd @CCICPolri

https://t.co/2EY6RRFcmO",1618264087443701760
2023-01-25,1209652087232946176,@YeyenAgoestine @TMCPoldaMetro Nasi kotak,1618261590637436929
2023-01-25,80384229,"RT @bisnis_h: @MartoArt Walah copot, maaf ketahuan ?. Double plat @TMCPoldaMetro , mana plat polisi lagi ?. Apa begini dibolehin (dgn senga…",1618261028244164608
2023-01-25,40496496,RT @TMCPoldaMetro: Lokasi titik kawasan Ganjil-Genap ( GAGE ) di Jakarta berlaku pada hari Senin s/d Jum'at. ( 06.00-10.00 WIB dan 16.00-21…,1618260445445644288
2023-01-25,588364004,@viertayu @TMCPoldaMetro Besok brgkt kantor harus waspada ini...harus mulai bawa bodyguard...,1618256628318621697
2023-01-25,81370896,Min hey @TMCPoldaMetro tilang manual berlaku lagi?,1618254238991409152
2023-01-25,81370896,"Pak @ListyoSigitP tilang manual berlaku lagi ya?
Cc @TMCPoldaMetro",1618252055549988865
2023-01-25,702150147698855937,"#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: '20.33 Situasi arus lalu lintas di Traffic Light Asia Afrika Senayan Jakpus terpantau ramai lancar. ' https://t.co/soH6B3dMJt, see more https://t.co/oJIVLJEX4N",1618250882738438144
2023-01-25,96676065,@DanaYudhistira @TMCPoldaMetro ….Dan……. Jangan beli nasgor depan rumah dulu,1618248251437903872
2023-01-25,867490580611252225,RT @TMCPoldaMetro: 21.02 Situasi arus lalu lintas di Jl. Raya Bekasi Cakung Jaktim terpantau ramai lancar. https://t.co/7RrX1gL57W,1618248177123221504
2023-01-25,585414418,RT @TMCPoldaMetro: Lokasi titik kawasan Ganjil-Genap ( GAGE ) di Jakarta berlaku pada hari Senin s/d Jum'at. ( 06.00-10.00 WIB dan 16.00-21…,1618248074207580160
2023-01-25,588364004,"@TMCPoldaMetro Pak coba ditertibin yg disekitaran Jl. Raden Patah 2 kalo pagi ampe siang pada parkir liar disitu, kebanyakan jg temen2 bapak yg parkir kan",1618246180399644672
2023-01-25,154769273,"@TMCPoldaMetro Disepanjang jln dkt MRT Haji Nawi juga banyak yg parkir liar, bikin macet",1618246021909446656
2023-01-25,1572222869568098304,@wirosodacola Fungsinya polisi disitu apa yah?@DivHumas_Polri @TMCPoldaMetro @poldametrojaya,1618246021431320576
2023-01-25,1566072784551231488,"RT @TMCPoldaMetro: 06.15 Situasi arus lalu lintas di depan BNN. Jl. Letjend. M.T. Haryono dari arah Cawang menuju Pancoran, Kampung Melayu,…",1618244993306742784
2023-01-25,177975633,"kasus plat nomor sakti. hari ini 25-01-2023. itu plat nomor genap lewat thamrin sampe HI. lewatin etle dan juga polisi yg jaga di HI tp gak ditilang. taudah mau diblg ada urusan kek apa katanya entar ditilang online kek, kasus gini gak 1 2 kali doang @ListyoSigitP @TMCPoldaMetro https://t.co/ZajAWNLKv8",1618244462572077056
2023-01-25,180696019,"20.38 #LalinSonora
Situasi arus lalu lintas di Traffic Light Asia Afrika Senayan Jakpus terpantau ramai lancar. @TMCPoldaMetro https://t.co/oIbC6LwFEh",1618242003640414208
2023-01-25,177975633,"flyover casablanca makin hari makin banyak motor yg lewat. giliran di klakson krn nyetirnya ditengah2, malah marah2. etle nya pak tolong di pasang @TMCPoldaMetro @ListyoSigitP https://t.co/OHpPHnbEzb",1618241849000591360
2023-01-25,256932578,"RT @karman_mustamin: Aneh ya? Ini era digital. Kenapa harus kirim surat pakai pos? Kenapa nggak pakai WA aja? Nggak punya nomornya? Ya, wak…",1618238928544501760
2023-01-25,1604284818715381760,"Tadi pagi, pas berangkat kerja lihat plat motor dengan tipe seperti ini. Ini resmikah @TMCPoldaMetro ? Terima kasih 

@RadioElshinta https://t.co/gvZK0uIQUr",1618233829558464513
2023-01-25,985113752222580736,"Bisa dibantu jelaskan apa fungsi trotoar
@DishubDKI_JKT 
@SatpolPP_DKI 
@TMCPoldaMetro https://t.co/RLwgXYHscs",1618231858705358851
2023-01-25,1456052347,"RT @Zaindamai: Yth @DKIJakarta mohon ditertibkan PKL di trotoar jalan Palmerah Jakarta Barat setiap sore jam 19 sd pagi jam 5 , mereka seha…",1618231528852705283
2023-01-25,109712226,RT @TMCPoldaMetro: Lokasi titik kawasan Ganjil-Genap ( GAGE ) di Jakarta berlaku pada hari Senin s/d Jum'at. ( 06.00-10.00 WIB dan 16.00-21…,1618227555529818113
2023-01-25,69822817,"@TMCPoldaMetro Enak ya jadi lurah.., Jadinya demo biar masa jabatan diperpanjang, gak malu ya?",1618225458537193474
2023-01-25,990940969,19.23 Wib Situasi Lalin Simp.Siliwangi Jl.Margonda Raya Arah Citayam Tersendar Namun Arah Simp.Ramanda Dan Jl.Siliwangi Ramai Lancar. @NTMCLantasPolri @TMCPoldaMetro https://t.co/lnTT5j667z,1618223187225120769
2023-01-25,990940969,19.21 Wib Situasi Lalin Simp.Ramanda Jl.Margonda Raya Ramai Lancar Arah Simp.Siliwangi Maupun Simp.Juanda Dan https://t.co/7k5k1NDhwr.Hakim. Petugas Sat Lantas Polres Metro Depok Pengaturan Lalin Upayakan Kelancaran. @NTMCLantasPolri @TMCPoldaMetro https://t.co/SzsrLCLh1J,1618222759771000832
2023-01-25,212556642,RT @kembangkertas97: @karman_mustamin @TMCPoldaMetro @NTMCLantasPolri Ada ga sih aplikasi yang bisa kita cek kita kena etilang? Buat orang…,1618222718062841857
2023-01-25,990940969,19.20 Wib Arus Lalin Bawah Layang UI Arah Jl.Margonda Raya Maupun Jl.Komjen.Pol.M.Yassin Ramai Lancar. Petugas Sat Lantas Polres Metro Depok Pengaturan Lalin Upayakan Kelancaran. @NTMCLantasPolri @TMCPoldaMetro https://t.co/uwRVGFrt59,1618222436524363776
